fecha;descripcion_dia;tipo_festivo
2023-01-02;AÑO NUEVO;NACIONAL
2023-01-05;CABALGATA REYES;EVENTO
2023-01-06;REYES;NACIONAL
2023-02-28;ANDALUCIA;AUTONOMICO
2023-04-02;SEMANA SANTA;EVENTO
2023-04-03;SEMANA SANTA;EVENTO
2023-04-04;SEMANA SANTA;EVENTO
2023-04-05;SEMANA SANTA;EVENTO
2023-04-06;JUEVES SANTO;AUTONOMICO
2023-04-07;VIERNES SANTO;AUTONOMICO
2023-04-08;SEMANA SANTA;EVENTO
2023-04-09;SEMANA SANTA;EVENTO
2023-04-23;FERIA SEVILLA;EVENTO
2023-04-24;FERIA SEVILLA;EVENTO
2023-04-25;FERIA SEVILLA;EVENTO
2023-04-26;FERIA SEVILLA;EVENTO
2023-04-26;FERIA SEVILLA;LOCAL
2023-04-27;FERIA SEVILLA;EVENTO
2023-04-28;FERIA SEVILLA;EVENTO
2023-04-29;FERIA SEVILLA;EVENTO
2023-05-01;TRABAJO;NACIONAL
2023-05-23;ROCIO;EVENTO
2023-05-24;ROCIO;EVENTO
2023-05-25;ROCIO;EVENTO
2023-05-26;ROCIO;EVENTO
2023-05-27;ROCIO;EVENTO
2023-05-28;ROCIO;EVENTO
2023-05-29;ROCIO;EVENTO
2023-05-30;ROCIO;EVENTO
2023-05-31;ROCIO;EVENTO
2023-06-01;ROCIO;EVENTO
2023-06-08;CORPUS;LOCAL
2023-08-15;ASUNCION;NACIONAL
2023-10-12;HISPANIDAD;NACIONAL
2023-11-01;TODOS LOS SANTOS;NACIONAL
2023-12-06;CONSTITUCIÓN;NACIONAL
2023-12-08;INMACULADA;NACIONAL
2023-12-24;NOCHEBUENA;EVENTO
2023-12-25;NAVIDAD;NACIONAL
2023-12-31;NOCHEVIEJA;EVENTO
