fecha;descripcion_dia;tipo_festivo
2020-01-01;AÑO NUEVO;NACIONAL
2020-01-05;CABALGATA REYES;EVENTO
2020-01-06;REYES;NACIONAL
2020-02-28;ANDALUCIA;AUTONOMICO
2020-04-09;JUEVES SANTO;AUTONOMICO
2020-04-10;VIERNES SANTO;AUTONOMICO
2020-04-29;FERIA;LOCAL
2020-05-01;TRABAJO;NACIONAL
2020-06-11;CORPUS;LOCAL
2020-08-15;ASUNCION;NACIONAL
2020-10-12;HISPANIDAD;NACIONAL
2020-11-02;TODOS LOS SANTOS;NACIONAL
2020-12-07;CONSTITUCIÓN;NACIONAL
2020-12-08;INMACULADA;NACIONAL
2020-12-24;NOCHEBUENA;EVENTO
2020-12-25;NAVIDAD;NACIONAL
2020-12-31;NOCHEVIEJA;EVENTO
