fecha;descripcion_dia;tipo_festivo
2022-01-01;AÑO NUEVO;NACIONAL
2022-01-05;CABALGATA REYES;EVENTO
2022-01-06;REYES;NACIONAL
2022-02-28;ANDALUCIA;AUTONOMICO
2022-04-10;SEMANA SANTA;EVENTO
2022-04-11;SEMANA SANTA;EVENTO
2022-04-12;SEMANA SANTA;EVENTO
2022-04-13;SEMANA SANTA;EVENTO
2022-04-14;JUEVES SANTO;AUTONOMICO
2022-04-15;VIERNES SANTO;AUTONOMICO
2022-04-16;SEMANA SANTA;EVENTO
2022-04-17;SEMANA SANTA;EVENTO
2022-04-30;FERIA SEVILLA;EVENTO
2022-05-01;FERIA SEVILLA;EVENTO
2022-05-02;TRABAJO;NACIONAL
2022-05-03;FERIA SEVILLA;EVENTO
2022-05-04;FERIA SEVILLA;LOCAL
2022-05-05;FERIA SEVILLA;EVENTO
2022-05-06;FERIA SEVILLA;EVENTO
2022-05-07;FERIA SEVILLA;EVENTO
2022-05-31;ROCIO;EVENTO
2022-06-01;ROCIO;EVENTO
2022-06-02;ROCIO;EVENTO
2022-06-03;ROCIO;EVENTO
2022-06-04;ROCIO;EVENTO
2022-06-05;ROCIO;EVENTO
2022-06-06;ROCIO;EVENTO
2022-06-07;ROCIO;EVENTO
2022-06-08;ROCIO;EVENTO
2022-06-09;ROCIO;EVENTO
2022-06-16;CORPUS;LOCAL
2022-08-15;ASUNCION;NACIONAL
2022-10-12;HISPANIDAD;NACIONAL
2022-11-01;TODOS LOS SANTOS;NACIONAL
2022-12-06;CONSTITUCIÓN;NACIONAL
2022-12-08;INMACULADA;NACIONAL
2022-12-24;NOCHEBUENA;EVENTO
2022-12-26;NAVIDAD;NACIONAL
2022-12-31;NOCHEVIEJA;EVENTO
