fecha;descripcion_dia;tipo_festivo
2021-01-01;AÑO NUEVO;NACIONAL
2021-01-06;REYES;NACIONAL
2021-03-01;ANDALUCIA;AUTONOMICO
2021-03-28;SEMANA SANTA;EVENTO
2021-03-29;SEMANA SANTA;EVENTO
2021-03-30;SEMANA SANTA;EVENTO
2021-03-31;SEMANA SANTA;EVENTO
2021-04-01;JUEVES SANTO;AUTONOMICO
2021-04-02;VIERNES SANTO;AUTONOMICO
2021-04-03;SEMANA SANTA;EVENTO
2021-04-04;SEMANA SANTA;EVENTO
2021-04-21;FERIA;LOCAL
2021-05-01;TRABAJO;NACIONAL
2021-05-24;ROCIO;EVENTO
2021-06-03;CORPUS;LOCAL
2021-08-16;ASUNCION;NACIONAL
2021-10-12;HISPANIDAD;NACIONAL
2021-11-01;TODOS LOS SANTOS;NACIONAL
2021-12-06;CONSTITUCIÓN;NACIONAL
2021-12-08;INMACULADA;NACIONAL
2021-12-24;NOCHEBUENA;EVENTO
2021-12-25;NAVIDAD;NACIONAL
2021-12-31;NOCHEVIEJA;EVENTO
